County/Sub County,Farming,Maize,Sorghum,Rice,Potatoes,Beans,Cassava,Sweet Potatoes,Wheat,Green grams,Bananas,Cabbages,Tomatoes,Onions,Ground Nuts,Millet,Watermelons,Kales,Sugarcane,Cotton
MAARA,"27,526","22,411","6,627","-    1,950","19,555","9,279","5,728",,"2,422","17,938","1,391","2,320","4,274",267,"1,616",321,"8,614","5,469",114,
MERU SOUTH,"19,251","15,832","1,883","-    4,090","14,528","6,907","3,628",,255,"11,559",518,805,"1,089",125,300,117,"3,219","4,003",52,
THARAKA NORTH,"11,402","2,660","8,316",-    44,959,170,113,,"9,190",261,40,111,65,360,"9,350",349,283,150,139,
THARAKA SOUTH,"15,330","4,678","9,450",-    45,"1,246",335,325,,"11,665",460,57,163,105,203,"10,992",230,501,148,177,
MT. KENYA FOREST,4,2,,-1,2,1,1,,,1,,1,1,,,,2,,,
EMBU,"130,990","109,171","22,883","-    31,032","89,278","27,641","20,905",,"30,437","55,970","8,247","8,734","8,517","1,215","12,819","1,884","27,825","17,631",,
EMBU EAST,"31,674","26,782",740,"-    13,434","23,223","9,993","6,218",,209,"21,651","2,601","2,578","3,137",202,282,277,"9,108","7,359",,
EMBU NORTH,"18,854","14,688",169,"-    6,378","11,822","4,179","5,096",,139,"13,757","4,260","2,289","3,214",107,80,127,"9,773","4,749",,
EMBU WEST,"21,166","16,926",443,"-    9,283","14,872","4,414","3,725",,317,"12,529",943,"1,359","1,292",242,205,285,"4,773","3,370",,
MBEERESOUTH,"35,511","31,493","12,570",-    698,"24,850","5,218","3,945",,"20,013","3,659",274,"1,664",486,451,"4,855",724,"2,431","1,064",,
MBEERE NORTH,"23,785","19,282","8,961","-    1,239","14,511","3,837","1,921",,"9,759","4,374",169,844,388,213,"7,397",471,"1,740","1,089",,
MT. KENYA FOREST,,,,,,,,,,,,,,,,,,,,
KITUI,"215,322","178,635","98,030",,"105,815","35,623","15,210",,"133,390","16,923","1,330","8,600","5,648",,"60,988","17,724","19,725","3,959","2,711",
IKUTHA,"14,236","11,519","7,331",,"2,705","1,269",674,,"10,007",354,82,451,274,,"4,464","1,767","1,265",135,99,
KATULANI,"10,717","10,218","1,976",,"8,454","2,224","1,336",,"5,744",845,55,514,299,,252,271,937,144,29,
KISASI,"9,797","9,452","4,226",,"5,605","2,311","1,294",,"6,861",634,78,547,360,,556,448,902,120,74,
KITUI CENTRAL,"17,146","15,951","3,334",,"13,599","5,857","2,060",,"4,553","3,958",171,963,610,,730,412,"2,191","1,063",105,
KITUI WEST,"15,208","14,528","4,148",,"13,917","3,739","1,410",,"7,066","2,355",89,434,379,,430,242,"1,062",315,35,
KYUSO,"14,021","8,649","10,300",,"2,600","1,076",224,,"10,710",319,60,403,293,,"8,956","2,412",836,167,650,
