County/ Sub-County,Total*,Pre-Primary,Primary,Secondary,Technical and Vocational Training (TVET),University,Adult Basic Education,Madrasa/ Duksi,Don't Know,Not Stated
WAJIR,"151,956","15,622","83,393","34,632","5,871","2,739",504,"8,520",610,65
Male,"88,325","8,026","46,217","22,208","4,053","2,158",296,"4,913",413,41
Female,"63,627","7,595","37,175","12,423","1,818",580,208,"3,607",197,24
BUNA,"6,738",783,"3,447","1,654",214,82,33,504,20,1
Male,"3,843",417,"1,884","1,045",141,68,18,261,9,
Female,"2,895",366,"1,563",609,73,14,15,243,11,1
ELDAS,"15,538","1,933","9,164","2,974",407,140,69,774,77,
Male,"8,477",939,"4,748","1,918",272,106,41,403,50,
Female,"7,061",994,"4,416","1,056",135,34,28,371,27,
HABASWEIN,"39,532","3,238","19,736","9,085","1,442",593,170,"5,082",162,24
Male,"23,862","1,722","11,504","5,861","1,021",485,97,"3,055",105,12
Female,"15,670","1,516","8,232","3,224",421,108,73,"2,027",57,12
TARBAJ,"7,220",776,"4,420","1,642",179,73,19,104,7,
Male,"3,749",353,"2,160",974,140,53,10,55,4,
Female,"3,470",423,"2,259",668,39,20,9,49,3,
WAJIR EAST,"33,348","2,721","17,313","9,126","2,063","1,196",57,643,202,27
Male,"19,381","1,411","9,420","5,677","1,380",944,35,344,148,22
Female,"13,966","1,310","7,893","3,449",683,251,22,299,54,5
WAJIR NORTH,"10,871","1,612","6,418","1,975",394,226,28,202,16,
Male,"6,104",792,"3,423","1,290",276,190,20,104,9,
Female,"4,767",820,"2,995",685,118,36,8,98,7,
WAJIR SOUTH,"17,774","2,395","10,850","3,559",510,144,74,176,53,13
Male,"10,950","1,316","6,509","2,452",365,117,46,103,35,7
Female,"6,823","1,078","4,341","1,107",145,27,28,73,18,6
WAJIR WEST,"20,935","2,164","12,045","4,617",662,285,54,"1,035",73,
Male,"11,959","1,076","6,569","2,991",458,195,29,588,53,
Female,"8,975","1,088","5,476","1,625",204,90,25,447,20,
MANDERA,"197,490","20,796","112,762","43,633","5,969","2,829",594,"9,802",966,139
Male,"109,059","9,904","59,225","27,672","4,163","2,245",320,"4,965",491,74
Female,"88,428","10,892","53,535","15,960","1,806",584,274,"4,837",475,65
MANDERA WEST,"24,818","4,188","14,826","4,250",492,259,62,675,62,4
Male,"13,284","1,943","7,694","2,664",360,212,32,346,31,2
Female,"11,534","2,245","7,132","1,586",132,47,30,329,31,2
BANISA,"22,704","3,391","13,175","3,977",646,156,148,"1,004",206,1
