County / Sub-County,Conventional Households,"Stand - alone
Radio","Desk Top
Computer/
Laptop/ Tablet","Functional
Television","Analogue
Television",Internet ,Bicycle, Motor Cycle ,Refrigerator, Car,"Truck/ Lorry/
Bus/ Three
Wheeler truck",Tuk Tuk
MOGOTIO,"18,169",61.4,3.1,24.6,2.7,7.8,21.5,15.6,2.1,5.2,0.6,0.2
TIATY EAST,"12,038",20.4,0.7,3.8,0.4,2.1,5.0,5.3,0.2,1.0,0.4,0.3
LAIKIPIA,"145,776",63.3,6.9,44.4,4.7,17.5,21.1,13.3,5.2,6.4,0.9,0.4
LAIKIPIA CENTRAL,"29,877",72.0,7.6,53.8,5.4,22.8,24.1,16.2,5.8,8.1,1.0,0.5
LAIKIPIA EAST,"31,311",58.0,10.9,54.2,6.1,24.4,18.2,11.8,10.4,9.1,1.0,0.5
LAIKIPIA NORTH,"7,694",34.8,1.8,9.2,0.7,3.0,3.8,9.9,0.6,2.2,0.5,0.3
LAIKIPIA WEST,"32,821",58.8,2.6,29.8,2.9,8.2,30.8,15.5,1.4,3.4,0.6,0.3
NYAHURURU,"44,073",69.6,7.6,48.0,5.2,18.3,17.0,11.3,4.9,6.4,0.9,0.3
NAKURU,"598,237",61.1,9.6,52.5,5.7,20.9,19.1,10.9,8.9,7.1,1.0,0.4
GILGIL,"49,405",65.1,9.0,52.1,6.1,20.5,24.7,12.9,8.7,7.6,1.2,0.4
KURESOI NORTH,"40,168",61.7,1.8,23.9,3.1,5.3,4.4,9.4,0.6,2.1,0.4,0.3
KURESOI SOUTH,"34,543",64.2,2.3,18.4,2.3,6.3,3.5,10.5,0.6,3.5,0.6,0.3
MOLO,"41,439",58.5,5.2,48.4,4.6,13.0,9.1,11.6,3.6,4.6,0.9,0.3
NAIVASHA,"111,493",57.9,9.0,57.9,5.5,23.0,16.7,9.8,7.6,6.5,1.1,0.4
NAKURU EAST,"60,066",53.5,23.9,76.2,9.4,46.0,26.8,7.7,26.6,14.6,1.8,0.7
NAKURU NORTH,"61,582",67.4,12.4,67.7,7.2,26.0,31.6,12.8,12.9,9.5,1.5,0.5
NAKURU WEST,"64,429",57.4,11.4,62.0,6.9,25.9,19.4,9.7,9.2,6.3,0.8,0.7
NJORO,"61,156",62.2,5.5,42.5,4.3,12.1,16.6,11.5,3.6,4.2,0.7,0.3
RONGAI,"52,248",63.8,11.1,47.9,5.8,19.6,28.5,14.1,11.0,10.0,1.1,0.3
SUBUKIA,"21,708",70.6,3.4,43.7,5.0,8.9,16.5,12.2,2.6,3.7,0.7,0.2
NAROK,"238,115",59.0,2.7,19.3,1.8,6.9,3.7,10.7,1.9,3.5,0.6,0.5
NAROK EAST,"24,860",60.9,1.5,22.5,1.5,4.5,2.9,11.9,1.2,3.4,0.5,0.5
NAROK NORTH,"59,802",68.7,6.1,36.0,3.4,14.1,4.7,9.4,5.3,6.1,0.9,0.5
NAROK SOUTH,"46,549",55.3,1.3,11.9,1.4,3.6,1.7,8.9,0.7,2.6,0.6,0.5
NAROK WEST,"37,782",52.5,1.6,10.1,1.0,4.5,2.0,11.7,0.7,2.9,0.6,0.5
TRANS MARA EAST,"20,439",47.8,1.3,5.4,0.7,4.3,10.0,11.9,0.3,1.2,0.4,0.3
TRANS MARA WEST,"48,683",59.3,2.0,17.0,1.6,5.4,3.5,12.2,1.1,2.5,0.4,0.4
MAU FOREST,,,,,,,,,,,,
KAJIADO,"313,218",55.0,14.6,51.7,5.6,29.1,11.9,9.7,15.8,10.9,1.2,0.5
ISINYA,"71,395",58.1,16.3,63.0,6.8,36.3,12.8,7.7,18.2,12.6,1.5,0.7
KAJIADO CENTRAL,"37,059",48.5,5.7,33.9,3.1,15.4,8.4,14.6,7.5,6.6,0.9,0.4
KAJIADO NORTH,"100,908",59.7,26.7,70.1,8.1,46.9,15.5,5.4,27.6,16.2,1.5,0.4
KAJIADO WEST,"42,367",54.5,7.3,36.0,3.6,15.2,7.4,8.5,9.3,8.6,1.1,0.5
LOITOKITOK,"45,581",45.0,3.1,28.6,3.1,8.9,9.7,15.2,2.8,3.9,0.8,0.7
MASHUURU,"15,908",56.3,4.3,34.0,3.3,11.1,12.8,22.5,3.2,5.3,0.9,0.6
KERICHO,"205,932",60.3,4.7,29.3,2.9,11.1,4.5,8.4,3.0,4.9,0.7,0.3
BELGUT,"34,978",64.2,4.9,34.2,2.9,11.4,4.1,8.8,3.3,5.6,0.8,0.2
BURETI,"43,098",63.6,4.4,29.4,2.8,10.6,6.0,11.2,2.7,5.4,0.7,0.2
KERICHO EAST,"44,246",57.6,8.9,39.2,3.7,19.9,5.4,7.8,6.3,7.0,0.9,0.3
KIPKELION,"24,676",57.3,1.7,15.4,1.9,5.5,1.5,6.1,0.6,2.2,0.3,0.2
LONDIANI,"31,739",62.8,3.1,28.2,3.2,7.4,4.7,7.9,1.6,3.8,0.6,0.2
SOIN SIGOWET,"27,195",54.4,2.4,20.6,2.2,6.3,3.4,7.1,1.7,3.3,0.5,0.3
BOMET,"187,230",62.1,3.3,18.5,2.0,8.0,5.5,12.0,1.4,3.7,0.5,0.3
BOMET EAST,"29,897",60.2,2.0,13.3,1.5,5.0,2.8,10.1,0.7,2.4,0.5,0.3
CHEPALUNGU,"33,850",60.0,1.9,10.4,1.2,4.6,10.5,13.9,0.4,1.8,0.5,0.2
KONOIN,"38,123",64.1,3.0,22.1,2.3,7.3,4.0,11.1,1.5,4.3,0.5,0.4
SOTIK,"47,265",62.1,3.8,19.9,2.3,9.8,5.9,11.7,1.9,4.2,0.5,0.3
BOMET CENTRAL,"38,095",63.5,5.3,24.2,2.5,11.7,3.9,13.3,2.2,5.1,0.6,0.3
KAKAMEGA,"432,284",62.0,4.3,29.2,4.3,8.6,24.4,11.5,3.3,3.3,0.6,0.4
BUTERE,"36,243",62.4,2.8,25.5,3.6,6.2,24.4,10.7,2.0,2.1,0.6,0.3
KAKAMEGA CENTRAL,"51,956",57.7,13.6,45.9,5.4,24.1,17.3,11.0,11.0,7.1,0.9,0.7
KAKAMEGA EAST,"39,589",64.6,3.1,30.0,4.7,7.1,19.2,10.6,2.5,2.8,0.5,0.4
KAKAMEGA NORTH,"50,952",66.4,2.9,25.7,5.7,6.8,30.7,12.4,1.7,2.6,0.5,0.4
KAKAMEGA SOUTH,"26,940",60.9,2.7,27.4,2.9,6.1,14.6,9.1,2.3,2.6,0.4,0.3
KHWISERO,"27,681",62.8,2.7,25.0,3.9,5.7,23.8,10.3,2.0,2.5,0.6,0.4
LIKUYANI,"34,776",65.8,3.8,35.2,3.9,7.5,27.5,13.1,2.9,4.3,0.8,0.3
LUGARI,"27,817",67.9,3.2,31.0,4.6,7.7,23.7,12.6,2.3,3.4,0.6,0.3
MATETE,"13,956",64.8,2.7,24.0,4.4,4.9,26.6,10.8,1.1,2.1,0.6,0.4
MATUNGU,"36,414",56.8,2.1,20.6,3.3,4.5,31.9,12.2,1.5,2.1,0.7,0.4
MUMIAS EAST,"25,995",54.7,3.0,24.2,3.7,6.4,24.2,12.5,2.2,2.7,0.6,0.5
MUMIAS WEST,"27,650",58.9,4.9,32.2,3.7,8.8,23.8,10.7,5.3,4.2,0.6,0.3
NAVAKHOLO,"32,315",62.8,2.4,21.5,4.8,5.8,29.5,13.1,1.2,1.9,0.4,0.4
VIHIGA,"143,288",61.6,4.3,31.2,4.2,8.8,11.5,7.8,3.6,3.0,0.5,0.3
EMUHAYA,"23,803",63.7,2.9,23.9,4.0,7.7,16.0,7.7,2.0,2.0,0.4,0.2
VIHIGA,"23,359",63.1,5.3,31.9,4.3,10.7,9.1,7.1,4.7,3.6,0.5,0.3
SABATIA,"31,391",64.0,5.0,36.5,4.0,9.8,10.9,8.3,4.1,3.7,0.6,0.3
LUANDA,"26,766",62.3,4.1,29.5,4.0,9.2,12.7,7.1,3.6,2.4,0.6,0.3
HAMISI,"37,965",56.8,4.0,32.2,4.5,7.2,9.7,8.2,3.3,3.1,0.5,0.3
KAKAMEGA FOREST,4,25.0,25.0,,,,,25.0,,25.0,,
BUNGOMA,"357,714",62.1,4.1,25.4,3.6,7.2,26.2,11.9,2.8,3.1,0.6,0.4
BUMULA,"44,922",60.3,1.9,17.0,2.6,3.2,30.4,11.5,1.0,1.7,0.6,0.4
BUNGOMA CENTRAL,"37,535",65.3,3.2,24.6,3.7,5.0,32.6,13.3,1.7,2.6,0.6,0.4
BUNGOMA EAST,"24,798",65.5,4.2,30.3,4.5,9.1,25.9,13.4,3.1,3.3,0.5,0.3
BUNGOMA NORTH,"24,940",67.1,3.1,27.1,5.2,5.6,28.1,15.3,1.6,3.3,0.7,0.3
BUNGOMA SOUTH,"69,088",62.6,8.5,36.9,4.0,14.0,26.3,12.0,7.1,5.4,1.0,0.6
CHEPTAIS,"26,007",49.9,1.2,9.8,1.1,2.8,4.7,5.0,0.4,0.9,0.3,0.3
KIMILILI,"35,053",63.9,3.8,27.5,3.2,6.3,25.8,12.0,2.5,3.1,0.7,0.4
MT. ELGON,"15,230",52.6,2.0,15.5,1.6,5.4,6.1,6.8,0.8,1.6,0.4,0.2
BUNGOMA WEST,"25,166",62.1,2.1,16.5,2.5,4.4,26.3,10.9,1.2,1.6,0.5,0.4
TONGAREN,"21,343",63.0,3.1,27.3,5.1,6.0,31.3,15.5,1.6,3.9,0.5,0.3
WEBUYE WEST,"32,834",65.1,5.2,29.1,4.9,9.5,35.5,13.6,3.8,3.7,0.6,0.3
MT. ELGON FOREST,798,39.1,0.3,1.6,0.1,0.4,0.3,2.3,0.1,0.3,0.3,0.3
BUSIA,"197,944",54.5,3.7,27.2,3.8,7.4,34.3,11.8,3.7,2.9,0.6,0.3
BUNYALA,"19,028",46.1,3.5,28.3,5.2,7.8,34.7,10.2,2.9,2.2,0.5,0.3
BUSIA,"33,152",57.5,5.2,38.1,4.5,11.7,35.2,13.0,6.9,4.2,0.9,0.3
BUTULA,"32,199",59.8,2.5,22.9,3.4,4.9,35.4,10.6,2.1,2.3,0.6,0.4
NAMBALE,"23,889",56.4,3.2,25.8,4.0,4.5,37.2,12.1,2.6,2.8,0.7,0.3
SAMIA,"23,813",55.0,3.2,25.5,4.1,8.9,38.8,13.1,3.1,2.7,0.6,0.3
TESO NORTH,"29,314",51.7,3.6,22.5,2.9,7.4,26.4,11.3,3.3,2.6,0.5,0.3
TESO SOUTH,"36,549",52.4,4.4,26.2,3.1,6.6,33.6,12.0,4.3,3.0,0.6,0.3
SIAYA,"249,341",65.5,4.2,28.3,3.8,8.3,32.7,11.8,4.0,2.9,0.6,0.4
SIAYA,"57,386",63.6,4.9,28.0,3.7,8.8,38.7,13.2,4.5,3.2,0.6,0.4
GEM,"44,696",66.6,3.6,26.6,4.0,7.6,25.3,9.8,3.7,2.7,0.5,0.4
UGENYA,"33,554",65.2,3.1,25.1,3.2,6.2,37.8,11.1,2.8,2.5,0.5,0.4
UGUNJA,"26,321",63.5,4.3,30.3,4.5,8.7,30.2,10.8,4.7,3.3,0.9,0.3
BONDO,"50,454",66.0,5.2,32.2,4.1,11.1,31.5,13.3,4.7,3.1,0.6,0.4
RARIEDA,"36,930",68.1,3.2,26.7,3.4,6.5,30.7,11.3,3.0,2.4,0.5,0.3
KISUMU,"296,846",65.0,9.8,45.1,6.5,20.0,22.0,10.3,11.6,5.3,0.8,0.8
KISUMU EAST,"61,499",58.4,11.3,53.8,7.2,23.5,22.2,11.9,13.6,5.6,0.8,1.0
KISUMU CENTRAL,"52,163",63.8,23.6,66.8,9.6,45.7,19.7,9.2,29.1,11.6,1.3,1.0
KISUMU WEST,"42,785",63.2,8.9,44.0,6.6,18.5,18.9,9.4,10.0,5.1,0.8,0.9
SEME,"29,404",68.8,3.5,27.3,4.1,7.3,22.4,9.9,3.4,2.5,0.6,0.6
MUHORONI,"36,982",70.9,4.0,35.6,5.3,9.9,26.5,12.6,4.6,2.9,0.6,0.4
NYANDO,"38,460",65.2,5.3,36.8,5.6,11.3,29.8,10.4,6.4,3.3,0.7,0.6
NYAKACH,"35,553",70.7,4.2,32.7,5.2,8.6,15.0,8.1,4.3,3.0,0.7,0.4
HOMA BAY,"260,290",63.0,4.1,26.3,4.1,8.2,12.8,10.7,3.3,2.6,0.6,0.5
HOMA BAY,"28,471",64.5,9.1,39.4,5.3,15.4,14.2,12.4,7.9,4.4,0.7,0.5
NDHIWA,"47,956",62.6,2.4,19.4,3.3,5.4,13.1,11.3,1.5,1.7,0.5,0.4
RACHUONYO NORTH,"41,661",67.3,3.6,27.5,4.2,7.3,16.0,10.7,3.1,2.7,0.6,0.4
RACHUONYO EAST,"27,229",65.0,3.5,26.2,4.8,7.1,13.1,8.8,3.0,2.5,0.6,0.5
RACHUONYO SOUTH,"30,693",65.0,5.8,32.7,5.6,10.1,14.6,11.8,5.5,3.9,0.7,0.5
RANGWE,"26,983",63.6,2.9,22.7,3.7,6.8,14.1,11.2,2.2,2.2,0.6,0.5
SUBA NORTH,"29,662",61.2,4.1,27.8,3.9,10.1,9.8,10.3,3.1,2.1,0.5,0.5
SUBA SOUTH,"27,635",52.9,2.1,18.3,2.5,5.7,5.5,8.7,1.4,1.3,0.4,0.4
MIGORI,"238,133",59.8,4.2,28.1,3.9,9.1,11.5,13.2,3.6,2.9,0.6,0.4
AWENDO,"27,014",63.0,4.4,30.6,5.3,9.9,11.7,12.1,4.2,3.0,0.5,0.3
KURIA EAST,"17,267",56.7,2.9,20.4,3.1,6.8,12.0,14.5,0.9,2.4,0.8,0.5
KURIA WEST,"39,723",56.2,4.2,30.6,4.2,8.3,11.6,16.7,3.2,3.1,0.6,0.4
NYATIKE,"39,358",56.1,2.4,22.7,3.0,6.3,11.7,12.2,1.6,1.7,0.4,0.4
RONGO,"29,007",62.9,6.1,34.1,5.5,12.5,11.4,10.6,5.9,3.7,0.7,0.4
SUNA EAST,"27,214",63.5,6.6,32.7,3.3,14.5,12.1,13.5,6.3,3.9,0.8,0.3
SUNA WEST,"28,839",59.4,4.8,31.8,3.6,9.0,9.7,13.6,4.9,3.4,0.7,0.5
URIRI,"29,711",62.1,2.7,20.9,3.3,6.2,12.3,12.3,2.1,2.1,0.5,0.4
KISII,"307,254",58.5,5.0,30.7,5.1,8.8,3.5,7.8,3.1,3.4,0.6,0.3
ETAGO,"18,610",55.3,1.7,16.2,3.3,4.7,3.3,9.8,0.6,1.5,0.6,0.4
GUCHA,"19,621",59.0,5.0,29.3,5.2,8.0,2.4,7.9,2.1,3.3,0.7,0.3
GUCHASOUTH,"19,627",58.6,3.8,24.8,4.5,7.6,3.7,8.5,1.9,2.4,0.6,0.4
KENYENYA,"30,985",59.3,2.6,22.6,4.2,5.2,2.3,8.2,1.0,2.1,0.5,0.3
KISII CENTRAL,"44,037",55.1,9.5,43.7,6.1,16.1,3.8,7.1,6.3,5.5,0.6,0.2
KISII SOUTH,"31,574",61.0,4.9,36.1,5.5,8.4,6.4,10.0,4.0,4.1,0.7,0.3
KITUTU CENTRAL,"41,233",55.4,10.1,45.9,6.6,17.2,5.2,8.1,7.9,6.0,0.8,0.2
MARANI,"26,133",58.3,2.2,22.5,5.3,4.2,3.0,6.0,1.0,1.9,0.5,0.3
MASABA SOUTH,"29,206",62.8,2.9,24.6,4.3,5.0,3.0,6.8,1.3,2.8,0.4,0.3
NYAMACHE,"30,583",60.1,2.2,22.6,3.9,3.7,1.9,6.4,1.0,2.1,0.5,0.3
SAMETA,"15,645",61.5,3.0,27.0,5.2,5.4,2.0,6.8,1.4,2.6,0.4,0.3
NYAMIRA,"150,499",62.7,3.7,30.3,5.1,7.3,3.9,8.3,2.0,3.4,0.7,0.3
BORABU,"19,404",63.4,4.7,32.6,5.7,11.1,4.5,9.2,3.5,5.4,0.9,0.3
MANGA,"23,836",66.5,3.8,30.7,6.3,6.2,3.5,7.5,1.7,2.8,0.7,0.2
MASABA NORTH,"27,904",65.7,3.5,28.2,5.5,7.3,4.2,7.9,1.6,3.0,0.6,0.4
NYAMIRA NORTH,"40,396",58.8,2.9,27.5,4.1,5.6,4.0,8.5,1.2,2.7,0.8,0.3
NYAMIRA SOUTH,"38,959",61.7,4.3,33.2,4.9,7.9,3.6,8.2,2.4,3.6,0.7,0.3
NAIROBI CITY,"1,494,676",53.4,22.7,68.7,7.5,42.1,12.5,4.3,23.5,12.9,1.2,0.4
DAGORETTI,"154,949",47.6,17.4,66.5,7.7,37.8,12.0,5.5,16.2,8.0,0.9,0.5
EMBAKASI,"346,462",53.6,23.5,69.9,7.9,43.8,12.1,4.0,22.9,11.5,1.2,0.4
KAMUKUNJI,"83,680",41.1,13.2,60.6,6.5,39.4,7.4,3.0,21.8,6.7,0.8,0.4
KASARANI,"268,611",54.1,25.3,72.8,7.3,46.3,12.2,4.6,24.0,11.9,1.2,0.4
KIBRA,"61,651",60.3,18.0,62.6,7.2,31.0,10.4,3.3,17.3,9.4,0.8,0.4
LANG'ATA,"60,187",51.6,45.3,70.1,8.2,59.7,22.3,4.1,49.5,35.9,2.6,0.5
MAKADARA,"70,080",54.9,18.8,65.3,7.1,38.0,11.2,3.3,20.0,9.9,1.0,0.4
MATHARE,"74,967",55.2,7.0,59.1,8.0,23.8,7.1,3.6,5.9,2.6,0.6,0.4
NJIRU,"204,492",59.5,16.7,72.7,7.9,35.2,13.4,5.1,19.4,10.6,1.2,0.4
STAREHE,"66,108",48.1,29.4,63.5,6.1,49.7,11.4,3.2,32.6,16.9,1.3,0.5
WESTLANDS,"103,489",54.9,39.8,71.9,6.7,55.1,18.5,4.4,42.0,32.8,2.0,0.5
